"","Class","Sex","Age","Survived"
"1","3rd","Male","Child","Died"
"2","3rd","Male","Child","Died"
"3","3rd","Male","Child","Died"
"4","3rd","Male","Child","Died"
"5","3rd","Male","Child","Died"
"6","3rd","Male","Child","Died"
"7","3rd","Male","Child","Died"
"8","3rd","Male","Child","Died"
"9","3rd","Male","Child","Died"
"10","3rd","Male","Child","Died"
"11","3rd","Male","Child","Died"
"12","3rd","Male","Child","Died"
"13","3rd","Male","Child","Died"
"14","3rd","Male","Child","Died"
"15","3rd","Male","Child","Died"
"16","3rd","Male","Child","Died"
"17","3rd","Male","Child","Died"
"18","3rd","Male","Child","Died"
"19","3rd","Male","Child","Died"
"20","3rd","Male","Child","Died"
"21","3rd","Male","Child","Died"
"22","3rd","Male","Child","Died"
"23","3rd","Male","Child","Died"
"24","3rd","Male","Child","Died"
"25","3rd","Male","Child","Died"
"26","3rd","Male","Child","Died"
"27","3rd","Male","Child","Died"
"28","3rd","Male","Child","Died"
"29","3rd","Male","Child","Died"
"30","3rd","Male","Child","Died"
"31","3rd","Male","Child","Died"
"32","3rd","Male","Child","Died"
"33","3rd","Male","Child","Died"
"34","3rd","Male","Child","Died"
"35","3rd","Male","Child","Died"
"36","3rd","Female","Child","Died"
"37","3rd","Female","Child","Died"
"38","3rd","Female","Child","Died"
"39","3rd","Female","Child","Died"
"40","3rd","Female","Child","Died"
"41","3rd","Female","Child","Died"
"42","3rd","Female","Child","Died"
"43","3rd","Female","Child","Died"
"44","3rd","Female","Child","Died"
"45","3rd","Female","Child","Died"
"46","3rd","Female","Child","Died"
"47","3rd","Female","Child","Died"
"48","3rd","Female","Child","Died"
"49","3rd","Female","Child","Died"
"50","3rd","Female","Child","Died"
"51","3rd","Female","Child","Died"
"52","3rd","Female","Child","Died"
"53","1st","Male","Adult","Died"
"54","1st","Male","Adult","Died"
"55","1st","Male","Adult","Died"
"56","1st","Male","Adult","Died"
"57","1st","Male","Adult","Died"
"58","1st","Male","Adult","Died"
"59","1st","Male","Adult","Died"
"60","1st","Male","Adult","Died"
"61","1st","Male","Adult","Died"
"62","1st","Male","Adult","Died"
"63","1st","Male","Adult","Died"
"64","1st","Male","Adult","Died"
"65","1st","Male","Adult","Died"
"66","1st","Male","Adult","Died"
"67","1st","Male","Adult","Died"
"68","1st","Male","Adult","Died"
"69","1st","Male","Adult","Died"
"70","1st","Male","Adult","Died"
"71","1st","Male","Adult","Died"
"72","1st","Male","Adult","Died"
"73","1st","Male","Adult","Died"
"74","1st","Male","Adult","Died"
"75","1st","Male","Adult","Died"
"76","1st","Male","Adult","Died"
"77","1st","Male","Adult","Died"
"78","1st","Male","Adult","Died"
"79","1st","Male","Adult","Died"
"80","1st","Male","Adult","Died"
"81","1st","Male","Adult","Died"
"82","1st","Male","Adult","Died"
"83","1st","Male","Adult","Died"
"84","1st","Male","Adult","Died"
"85","1st","Male","Adult","Died"
"86","1st","Male","Adult","Died"
"87","1st","Male","Adult","Died"
"88","1st","Male","Adult","Died"
"89","1st","Male","Adult","Died"
"90","1st","Male","Adult","Died"
"91","1st","Male","Adult","Died"
"92","1st","Male","Adult","Died"
"93","1st","Male","Adult","Died"
"94","1st","Male","Adult","Died"
"95","1st","Male","Adult","Died"
"96","1st","Male","Adult","Died"
"97","1st","Male","Adult","Died"
"98","1st","Male","Adult","Died"
"99","1st","Male","Adult","Died"
"100","1st","Male","Adult","Died"
"101","1st","Male","Adult","Died"
"102","1st","Male","Adult","Died"
"103","1st","Male","Adult","Died"
"104","1st","Male","Adult","Died"
"105","1st","Male","Adult","Died"
"106","1st","Male","Adult","Died"
"107","1st","Male","Adult","Died"
"108","1st","Male","Adult","Died"
"109","1st","Male","Adult","Died"
"110","1st","Male","Adult","Died"
"111","1st","Male","Adult","Died"
"112","1st","Male","Adult","Died"
"113","1st","Male","Adult","Died"
"114","1st","Male","Adult","Died"
"115","1st","Male","Adult","Died"
"116","1st","Male","Adult","Died"
"117","1st","Male","Adult","Died"
"118","1st","Male","Adult","Died"
"119","1st","Male","Adult","Died"
"120","1st","Male","Adult","Died"
"121","1st","Male","Adult","Died"
"122","1st","Male","Adult","Died"
"123","1st","Male","Adult","Died"
"124","1st","Male","Adult","Died"
"125","1st","Male","Adult","Died"
"126","1st","Male","Adult","Died"
"127","1st","Male","Adult","Died"
"128","1st","Male","Adult","Died"
"129","1st","Male","Adult","Died"
"130","1st","Male","Adult","Died"
"131","1st","Male","Adult","Died"
"132","1st","Male","Adult","Died"
"133","1st","Male","Adult","Died"
"134","1st","Male","Adult","Died"
"135","1st","Male","Adult","Died"
"136","1st","Male","Adult","Died"
"137","1st","Male","Adult","Died"
"138","1st","Male","Adult","Died"
"139","1st","Male","Adult","Died"
"140","1st","Male","Adult","Died"
"141","1st","Male","Adult","Died"
"142","1st","Male","Adult","Died"
"143","1st","Male","Adult","Died"
"144","1st","Male","Adult","Died"
"145","1st","Male","Adult","Died"
"146","1st","Male","Adult","Died"
"147","1st","Male","Adult","Died"
"148","1st","Male","Adult","Died"
"149","1st","Male","Adult","Died"
"150","1st","Male","Adult","Died"
"151","1st","Male","Adult","Died"
"152","1st","Male","Adult","Died"
"153","1st","Male","Adult","Died"
"154","1st","Male","Adult","Died"
"155","1st","Male","Adult","Died"
"156","1st","Male","Adult","Died"
"157","1st","Male","Adult","Died"
"158","1st","Male","Adult","Died"
"159","1st","Male","Adult","Died"
"160","1st","Male","Adult","Died"
"161","1st","Male","Adult","Died"
"162","1st","Male","Adult","Died"
"163","1st","Male","Adult","Died"
"164","1st","Male","Adult","Died"
"165","1st","Male","Adult","Died"
"166","1st","Male","Adult","Died"
"167","1st","Male","Adult","Died"
"168","1st","Male","Adult","Died"
"169","1st","Male","Adult","Died"
"170","1st","Male","Adult","Died"
"171","2nd","Male","Adult","Died"
"172","2nd","Male","Adult","Died"
"173","2nd","Male","Adult","Died"
"174","2nd","Male","Adult","Died"
"175","2nd","Male","Adult","Died"
"176","2nd","Male","Adult","Died"
"177","2nd","Male","Adult","Died"
"178","2nd","Male","Adult","Died"
"179","2nd","Male","Adult","Died"
"180","2nd","Male","Adult","Died"
"181","2nd","Male","Adult","Died"
"182","2nd","Male","Adult","Died"
"183","2nd","Male","Adult","Died"
"184","2nd","Male","Adult","Died"
"185","2nd","Male","Adult","Died"
"186","2nd","Male","Adult","Died"
"187","2nd","Male","Adult","Died"
"188","2nd","Male","Adult","Died"
"189","2nd","Male","Adult","Died"
"190","2nd","Male","Adult","Died"
"191","2nd","Male","Adult","Died"
"192","2nd","Male","Adult","Died"
"193","2nd","Male","Adult","Died"
"194","2nd","Male","Adult","Died"
"195","2nd","Male","Adult","Died"
"196","2nd","Male","Adult","Died"
"197","2nd","Male","Adult","Died"
"198","2nd","Male","Adult","Died"
"199","2nd","Male","Adult","Died"
"200","2nd","Male","Adult","Died"
"201","2nd","Male","Adult","Died"
"202","2nd","Male","Adult","Died"
"203","2nd","Male","Adult","Died"
"204","2nd","Male","Adult","Died"
"205","2nd","Male","Adult","Died"
"206","2nd","Male","Adult","Died"
"207","2nd","Male","Adult","Died"
"208","2nd","Male","Adult","Died"
"209","2nd","Male","Adult","Died"
"210","2nd","Male","Adult","Died"
"211","2nd","Male","Adult","Died"
"212","2nd","Male","Adult","Died"
"213","2nd","Male","Adult","Died"
"214","2nd","Male","Adult","Died"
"215","2nd","Male","Adult","Died"
"216","2nd","Male","Adult","Died"
"217","2nd","Male","Adult","Died"
"218","2nd","Male","Adult","Died"
"219","2nd","Male","Adult","Died"
"220","2nd","Male","Adult","Died"
"221","2nd","Male","Adult","Died"
"222","2nd","Male","Adult","Died"
"223","2nd","Male","Adult","Died"
"224","2nd","Male","Adult","Died"
"225","2nd","Male","Adult","Died"
"226","2nd","Male","Adult","Died"
"227","2nd","Male","Adult","Died"
"228","2nd","Male","Adult","Died"
"229","2nd","Male","Adult","Died"
"230","2nd","Male","Adult","Died"
"231","2nd","Male","Adult","Died"
"232","2nd","Male","Adult","Died"
"233","2nd","Male","Adult","Died"
"234","2nd","Male","Adult","Died"
"235","2nd","Male","Adult","Died"
"236","2nd","Male","Adult","Died"
"237","2nd","Male","Adult","Died"
"238","2nd","Male","Adult","Died"
"239","2nd","Male","Adult","Died"
"240","2nd","Male","Adult","Died"
"241","2nd","Male","Adult","Died"
"242","2nd","Male","Adult","Died"
"243","2nd","Male","Adult","Died"
"244","2nd","Male","Adult","Died"
"245","2nd","Male","Adult","Died"
"246","2nd","Male","Adult","Died"
"247","2nd","Male","Adult","Died"
"248","2nd","Male","Adult","Died"
"249","2nd","Male","Adult","Died"
"250","2nd","Male","Adult","Died"
"251","2nd","Male","Adult","Died"
"252","2nd","Male","Adult","Died"
"253","2nd","Male","Adult","Died"
"254","2nd","Male","Adult","Died"
"255","2nd","Male","Adult","Died"
"256","2nd","Male","Adult","Died"
"257","2nd","Male","Adult","Died"
"258","2nd","Male","Adult","Died"
"259","2nd","Male","Adult","Died"
"260","2nd","Male","Adult","Died"
"261","2nd","Male","Adult","Died"
"262","2nd","Male","Adult","Died"
"263","2nd","Male","Adult","Died"
"264","2nd","Male","Adult","Died"
"265","2nd","Male","Adult","Died"
"266","2nd","Male","Adult","Died"
"267","2nd","Male","Adult","Died"
"268","2nd","Male","Adult","Died"
"269","2nd","Male","Adult","Died"
"270","2nd","Male","Adult","Died"
"271","2nd","Male","Adult","Died"
"272","2nd","Male","Adult","Died"
"273","2nd","Male","Adult","Died"
"274","2nd","Male","Adult","Died"
"275","2nd","Male","Adult","Died"
"276","2nd","Male","Adult","Died"
"277","2nd","Male","Adult","Died"
"278","2nd","Male","Adult","Died"
"279","2nd","Male","Adult","Died"
"280","2nd","Male","Adult","Died"
"281","2nd","Male","Adult","Died"
"282","2nd","Male","Adult","Died"
"283","2nd","Male","Adult","Died"
"284","2nd","Male","Adult","Died"
"285","2nd","Male","Adult","Died"
